train_loss,epoch,step,val_loss,val_acc,train_acc
0.642609715461731,0,49,,,
0.6320067048072815,0,99,,,
0.6027057766914368,0,149,,,
0.7134809494018555,0,199,,,
0.7061576247215271,0,249,,,
0.5100728273391724,0,299,,,
0.49103060364723206,0,349,,,
0.4339064955711365,0,399,,,
0.6387585997581482,0,449,,,
,0,449,0.5466718077659607,0.7518749833106995,
,0,449,,,0.7243750095367432
0.44038957357406616,1,499,,,
0.6419381499290466,1,549,,,
0.42214444279670715,1,599,,,
0.40642473101615906,1,649,,,
0.7715760469436646,1,699,,,
0.3541441857814789,1,749,,,
0.3567940294742584,1,799,,,
0.7230279445648193,1,849,,,
0.3698984682559967,1,899,,,
,1,899,0.4530421495437622,0.7931249737739563,
,1,899,,,0.7773610949516296
0.4659541845321655,2,949,,,
0.44330084323883057,2,999,,,
0.40864333510398865,2,1049,,,
0.38437119126319885,2,1099,,,
0.5337768793106079,2,1149,,,
0.43658748269081116,2,1199,,,
0.42808961868286133,2,1249,,,
0.37347427010536194,2,1299,,,
0.2849053740501404,2,1349,,,
,2,1349,0.44403284788131714,0.809374988079071,
,2,1349,,,0.7983333468437195
0.35569435358047485,3,1399,,,
0.47722506523132324,3,1449,,,
0.39345884323120117,3,1499,,,
0.3946811258792877,3,1549,,,
0.381398469209671,3,1599,,,
0.601474940776825,3,1649,,,
0.3985275328159332,3,1699,,,
0.24435193836688995,3,1749,,,
0.32410728931427,3,1799,,,
,3,1799,0.4697515070438385,0.7962499856948853,
,3,1799,,,0.8034722208976746
0.5457970499992371,4,1849,,,
0.5377360582351685,4,1899,,,
0.2553201913833618,4,1949,,,
0.3090033233165741,4,1999,,,
0.3622211515903473,4,2049,,,
0.23099233210086823,4,2099,,,
0.31509777903556824,4,2149,,,
0.25625866651535034,4,2199,,,
0.2567097842693329,4,2249,,,
,4,2249,0.4493742883205414,0.8075000047683716,
,4,2249,,,0.8161110877990723
0.5127159953117371,5,2299,,,
0.3840164542198181,5,2349,,,
0.4701954424381256,5,2399,,,
0.8683456778526306,5,2449,,,
0.5229864120483398,5,2499,,,
0.37948641180992126,5,2549,,,
0.6854599714279175,5,2599,,,
0.45358386635780334,5,2649,,,
0.41284504532814026,5,2699,,,
,5,2699,0.4302775263786316,0.8224999904632568,
,5,2699,,,0.8215277791023254
0.4678061306476593,6,2749,,,
0.5265960097312927,6,2799,,,
0.38604527711868286,6,2849,,,
0.629112720489502,6,2899,,,
0.3341257572174072,6,2949,,,
0.5544328093528748,6,2999,,,
0.4977908134460449,6,3049,,,
0.27002280950546265,6,3099,,,
0.6450200080871582,6,3149,,,
,6,3149,0.42393410205841064,0.809374988079071,
,6,3149,,,0.8199999928474426
0.8183795809745789,7,3199,,,
0.4516173005104065,7,3249,,,
0.3335390090942383,7,3299,,,
0.2811151444911957,7,3349,,,
0.3460402190685272,7,3399,,,
0.3012482523918152,7,3449,,,
0.3168039619922638,7,3499,,,
0.4393429160118103,7,3549,,,
0.2693638205528259,7,3599,,,
,7,3599,0.40715140104293823,0.8137500286102295,
,7,3599,,,0.8230555653572083
0.5440434813499451,8,3649,,,
0.3025934398174286,8,3699,,,
0.18951669335365295,8,3749,,,
0.432593435049057,8,3799,,,
0.44541531801223755,8,3849,,,
0.28460222482681274,8,3899,,,
0.3729463815689087,8,3949,,,
0.4364931583404541,8,3999,,,
0.5152300596237183,8,4049,,,
,8,4049,0.4651825428009033,0.7987499833106995,
,8,4049,,,0.8164583444595337
0.3213009834289551,9,4099,,,
0.31372636556625366,9,4149,,,
0.4160754084587097,9,4199,,,
0.3326479196548462,9,4249,,,
0.39990806579589844,9,4299,,,
0.41570115089416504,9,4349,,,
0.6812599897384644,9,4399,,,
0.31509706377983093,9,4449,,,
0.43601712584495544,9,4499,,,
,9,4499,0.4678574800491333,0.7918750047683716,
,9,4499,,,0.8221527934074402
0.27936938405036926,10,4549,,,
0.5845925807952881,10,4599,,,
0.535660445690155,10,4649,,,
0.4040087163448334,10,4699,,,
0.37790754437446594,10,4749,,,
0.40106335282325745,10,4799,,,
0.39746254682540894,10,4849,,,
0.3039245307445526,10,4899,,,
0.5698908567428589,10,4949,,,
,10,4949,0.4189894199371338,0.8149999976158142,
,10,4949,,,0.8227083086967468
0.40559229254722595,11,4999,,,
0.35223817825317383,11,5049,,,
0.41566547751426697,11,5099,,,
0.31318020820617676,11,5149,,,
0.1969357132911682,11,5199,,,
0.39883241057395935,11,5249,,,
0.9932940602302551,11,5299,,,
0.28552642464637756,11,5349,,,
0.35395458340644836,11,5399,,,
,11,5399,0.4405866265296936,0.8075000047683716,
,11,5399,,,0.8327777981758118
0.44479450583457947,12,5449,,,
0.25737276673316956,12,5499,,,
0.4001273512840271,12,5549,,,
